start_id,end_id,role,alias
349,1,Junior 3D Animator,"junior 3d animator, junior 3d animator"
348,1,Nhân viên Phát triển thị trường,"nhân viên phát triển thị trường, nhan vien phat trien thi truong"
347,1,Junior 3D Animator,"junior 3d animator, junior 3d animator"
346,1,Blockchain Developer,"blockchain developer, blockchain developer"
345,1,Crypto Researcher,"crypto researcher, crypto researcher"
344,1,Hành chính nhân sự," hành chính nhân sự, hcns, hành chính nhân sự "
343,1,3D Render,"3d render, 3d render"
342,1,TN biên soạn nội dung,"tn biên soạn nội dung, tn bien soan noi dung"
341,1,NET Developer,"net developer, net developer, dotnet"
340,1,Crypto Researcher,"crypto researcher, crypto researcher"
339,1,Chuyên viên Tuyển dụng,"chuyên viên tuyển dụng, chuyen vien tuyen dung"
338,1,Pre-Junior iOS,"pre-junior ios, pre-junior ios developer, dev"
337,1,Senior Java Developer,"senior java developer, senior java developer, dev"
336,1,Senior FullStack Developer,"senior fullstack developer, senior fullstack developer, dev"
335,1,Chuyên viên Tuyển dụng,"chuyên viên tuyển dụng, chuyen vien tuyen dung"
334,1,2D Artist,"2d artist, 2d artist"
333,1,DotNet Developer,"dotnet developer, dotnet developer, net dev"
332,1,Digital Marketing Specialist,"digital marketing specialist, digital marketing specialist"
331,1,Senior 3D Artist,"senior 3d artist, senior 3d artist"
330,1,Data Analyst,"data analyst, data analyst, da"
329,1,Computer Vision - TTAI,"computer vision - ttai, computer vision, cv engineer"
328,1,Computer Vision - TTAI,"computer vision - ttai, computer vision, cv engineer"
327,1,Computer Vision - TTAI,"computer vision - ttai, computer vision, cv engineer"
326,1,NLP/DS,"nlp/ds, nlp/ds, nlp engineer, data scientist"
325,1,Campaign Marketing Specialist,"campaign marketing specialist, campaign marketing specialist"
324,1,Creative,"creative, creative"
323,1,DE,"de, de, data engineer"
322,1,Tournament- Quản lý Proteam,"tournament- quản lý proteam, tournament- quan ly proteam"
321,1,Tournament Executive,"tournament executive, tournament executive"
319,1,UI/UX Designer ,"ui/ux designer, ui/ux designer, ui ux"
318,1, 3D Artist,"3d artist, 3d artist"
317,1,UI/UX Designer ,"ui/ux designer, ui/ux designer, ui ux"
315,1,DevOps,"devops, devops"
314,1,Product Analyst,"product analyst, product analyst"
312,1,iOS Developer,"ios developer, ios developer, dev"
311,1,iOS Developer,"ios developer, ios developer, dev"
310,1,FullStack Developer,"fullstack developer, fullstack developer, dev"
307,1,QA (Fresher),"qa (fresher), qa (fresher), Quality Assurance"
306,1,Chuyên viên Tuyển dụng,"chuyên viên tuyển dụng, chuyen vien tuyen dung"
305,1,PM dự án F-Racing,"pm dự án f-racing, pm du an f-racing"
304,1,3D Artist,"3d artist, 3d artist"
303,1,Chuyên viên Đào tạo,"chuyên viên đào tạo, chuyen vien dao tao"
302,1,Database Engineer,"database engineer, database engineer"
301,1,IT Support,"it support, it support"
300,1,3D Animation,"3d animation, 3d animation"
299,1,3D Animation,"3d animation, 3d animation"
297,1,NLP/VA,"nlp/va, nlp/va, nlp engineer, va, virtual assistant"
296,1,Voice-NLP,"voice-nlp, voice-nlp, nlp voice engineer"
295,1,Java,"java, java developer, dev"
294,1,Motion Graphic Design,"motion graphic design, motion graphic design"
293,1,3D Artist,"3d artist, 3d artist"
292,1,Content Creator,"content creator, content creator"
291,1,Content Creator,"content creator, content creator"
290,1,Computer Vision Engineer,"computer vision engineer, computer vision engineer, CV"
288,1,NLP,"nlp, nlp engineer"
287,1,Blockchain Developer,"blockchain developer, blockchain developer"
286,1,Blockchain,"blockchain, blockchain developer"
284,1,Biên soạn nội dung Giáo dục,"biên soạn nội dung giáo dục, bien soan noi dung giao duc"
283,1,Dev ios,"dev ios, dev ios, developer"
282,1,Android Developer,"android developer, android developer"
281,1,Java,"java, java developer, dev"
280,1,3D Animation,"3d animation, 3d animation"
279,1,Trưởng phòng,"trưởng phòng, truong phong, tuyển dụng, tuyển dụng và đào tạo, tuyển dụng & đào tạo, TD&ĐT, tuyen dung va dao tao"
278,1, 3D Artist,"3d artist, 3d artist"
277,1,NLP Engineer,"nlp engineer, nlp engineer"
276,1,Graphic Design,"graphic design, graphic design"
275,1,Nhân viên Biên soạn nội dung Giáo dục,"nhân viên biên soạn nội dung giáo dục, nhan vien bien soan noi dung giao duc"
274,1,Crypto Researcher,"crypto researcher, crypto researcher"
273,1,FullStack Developer,"fullstack developer, fullstack developer, dev"
272,1,CV Engineer,"cv engineer, cv engineer, computer vision"
270,1,FullStack Developer,"fullstack developer, fullstack developer, dev"
269,1,Nhân viên Biên soạn nội dung Giáo dục,"nhân viên biên soạn nội dung giáo dục, nhan vien bien soan noi dung giao duc"
268,1,Community Executive,"community executive, community executive"
267,1,Community Executive,"community executive, community executive"
266,1,Trưởng nhóm Thị Trường Dự án Fschool,"trưởng nhóm thị trường dự án fschool, truong nhom thi truong du an fschool"
264,1,Artist 3D,"artist 3d, artist 3d"
263,1,Artist 3D,"artist 3d, artist 3d"
262,1,CV Engineer,"cv engineer, cv engineer, computer vision"
261,1,NLP Engineer,"nlp engineer, nlp engineer"
260,1,KOL Admin Executive,"kol admin executive, kol admin executive"
257,1,Hành chính nhân sự (HCNS),"hành chính nhân sự (hcns), hanh chinh nhan su (hcns)"
256,1,Hành chính nhân sự (HCNS),"hành chính nhân sự (hcns), hanh chinh nhan su (hcns)"
255,1,Game Operation Senior,"game operation senior, game operation senior"
254,1,Trưởng nhóm Triển khai Dự án Fschool,"trưởng nhóm triển khai dự án fschool, truong nhom trien khai du an fschool"
253,1,NLP Engineer,"nlp engineer, nlp engineer"
252,1,Game Operation Junior,"game operation junior, game operation junior"
250,1,Business Analyst (BA),"business analyst (ba), business analyst (ba)"
249,1,Web Developer,"web developer, web developer"
248,1,Data Analyst,"data analyst, data analyst"
245,1,PR & Social Media Lead,"pr & social media lead, pr & social media lead"
244,1,Admin,"admin, admin"
243,1,Android Developer,"android developer, android developer"
241,1,Unity Developer 2D,"unity developer 2d, unity developer 2d"
240,1,Project Executive,"project executive, project executive"
238,1,Graphic Designer,"graphic designer, graphic designer"
237,1,Community Executive,"community executive, community executive"
