start_id,end_id,role,alias
98,3,Nhân viên,"nhân viên, nhan vien"
96,15,Nhân viên,"nhân viên, nhan vien"
95,3,Nhân viên,"nhân viên, nhan vien"
94,5,Nhân viên,"nhân viên, nhan vien"
93,7,Nhân viên,"nhân viên, nhan vien"
91,4,Nhân viên,"nhân viên, nhan vien"
90,3,Nhân viên,"nhân viên, nhan vien"
89,11,Nhân viên,"nhân viên, nhan vien"
88,11,Nhân viên,"nhân viên, nhan vien"
87,5,Nhân viên,"nhân viên, nhan vien"
86,5,Nhân viên,"nhân viên, nhan vien"
85,7,Nhân viên,"nhân viên, nhan vien"
84,5,Nhân viên,"nhân viên, nhan vien"
83,5,Nhân viên,"nhân viên, nhan vien"
82,2,Nhân viên,"nhân viên, nhan vien"
80,3,Nhân viên,"nhân viên, nhan vien"
79,7,Nhân viên,"nhân viên, nhan vien"
76,3,Nhân viên,"nhân viên, nhan vien"
75,4,Nhân viên,"nhân viên, nhan vien"
74,2,Nhân viên,"nhân viên, nhan vien"
73,11,Nhân viên,"nhân viên, nhan vien"
72,2,Nhân viên,"nhân viên, nhan vien"
71,2,Nhân viên,"nhân viên, nhan vien"
70,6,Nhân viên,"nhân viên, nhan vien"
69,15,Nhân viên,"nhân viên, nhan vien"
68,11,Nhân viên,"nhân viên, nhan vien"
66,3,Phó Phòng,"phó phòng, pho phong"
65,4,Nhân viên,"nhân viên, nhan vien"
63,5,Nhân viên,"nhân viên, nhan vien"
62,5,Nhân viên,"nhân viên, nhan vien"
61,7,Nhân viên,"nhân viên, nhan vien"
60,4,Nhân viên,"nhân viên, nhan vien"
58,5,Nhân viên,"nhân viên, nhan vien"
57,6,Trưởng phòng,"trưởng phòng, truong phong"
55,4,Nhân viên,"nhân viên, nhan vien"
54,2,Phó Phòng,"phó phòng, pho phong"
53,3,Nhân viên,"nhân viên, nhan vien"
52,6,Nhân viên,"nhân viên, nhan vien"
51,7,Nhân viên,"nhân viên, nhan vien"
50,4,Nhân viên,"nhân viên, nhan vien"
48,4,Nhân viên,"nhân viên, nhan vien"
47,11,Nhân viên,"nhân viên, nhan vien"
46,2,Nhân viên,"nhân viên, nhan vien"
45,7,Nhân viên,"nhân viên, nhan vien"
44,7,Nhân viên,"nhân viên, nhan vien"
43,7,Nhân viên,"nhân viên, nhan vien"
42,7,Nhân viên,"nhân viên, nhan vien"
41,3,Nhân viên,"nhân viên, nhan vien"
39,5,Phó Phòng,"phó phòng, pho phong"
38,5,Nhân viên,"nhân viên, nhan vien"
37,8,Trưởng Phòng,"trưởng phòng, truong phong"
36,8,Nhân viên,"nhân viên, nhan vien"
35,8,Nhân viên,"nhân viên, nhan vien"
34,8,Nhân viên,"nhân viên, nhan vien"
33,5,Phó Phòng,"phó phòng, pho phong"
32,5,Trưởng Phòng,"trưởng phòng, truong phong"
31,4,Nhân viên,"nhân viên, nhan vien"
30,4,Phó Phòng,"phó phòng, pho phong"
29,4,Nhân viên,"nhân viên, nhan vien"
28,4,Nhân viên,"nhân viên, nhan vien"
27,4,Nhân viên,"nhân viên, nhan vien"
26,4,Nhân viên,"nhân viên, nhan vien"
25,4,Nhân viên,"nhân viên, nhan vien"
24,4,Nhân viên,"nhân viên, nhan vien"
23,4,Nhân viên,"nhân viên, nhan vien"
22,4,Nhân viên,"nhân viên, nhan vien"
21,4,Trưởng Phòng,"trưởng phòng, truong phong"
20,11,Phó Phòng,"phó phòng, pho phong"
19,3,Nhân viên,"nhân viên, nhan vien"
18,2,Nhân viên,"nhân viên, nhan vien"
17,5,Nhân viên,"nhân viên, nhan vien"
16,5,Nhân viên,"nhân viên, nhan vien"
